"divergence_threshold" "lambda" "omega" "sigma_squared_bs" "sigma_squared_t" "dispersal" "seed" "start_time" "model" "initial_abundance" "grid_cell_distance" "max_species" "ancestor_number" "inflexion" "decay" "aridity_cost" "K" "psi" "running_time_step" "n_total_diversity" "n_extant_diversity" "n_extinct_diversity" "turnover" "richness_mean" "richness_max" "richness_median" "richness_sd" "richness_skewness" "richness_kurtosis" "richness_lat_cor" "richness_temp0mya_cor" "richness_temp10mya_cor" "richness_temp20mya_cor" "richness_temp30mya_cor" "richness_temp40mya_cor" "richness_temp50mya_cor" "richness_temp60mya_cor" "temp_mean" "temp_sd" "temp_skewness" "temp_kurtosis" "temp_trait_mean" "temp_trait_sd" "temp_trait_skewness" "temp_trait_kurtosis" "bs_mean" "bs_sd" "bs_skewness" "bs_kurtosis" "rs_mean" "rs_sd" "rs_skewness" "rs_kurtosis" "bodysize_temp_cor" "bodysize_rangesize_cor" "rangesize_temp_cor" "bodysize_MRDa_cor" "bodysize_MRDn_cor" "bodysize_MRDs_cor" "bodysize_ED_cor" "bodysize_ES_cor" "bodysize_DR_cor" "temp_MRDa_cor" "temp_MRDn_cor" "temp_MRDs_cor" "temp_ED_cor" "temp_ES_cor" "temp_DR_cor" "rangesize_MRDa_cor" "rangesize_MRDn_cor" "rangesize_MRDs_cor" "rangesize_ED_cor" "rangesize_ES_cor" "rangesize_DR_cor" "bodysize_MRDa_cor_p" "bodysize_MRDn_cor_p" "bodysize_MRDs_cor_p" "bodysize_ED_cor_p" "bodysize_ES_cor_p" "bodysize_DR_cor_p" "temp_MRDa_cor_p" "temp_MRDn_cor_p" "temp_MRDs_cor_p" "temp_ED_cor_p" "temp_ES_cor_p" "temp_DR_cor_p" "rangesize_MRDa_cor_p" "rangesize_MRDn_cor_p" "rangesize_MRDs_cor_p" "rangesize_ED_cor_p" "rangesize_ES_cor_p" "rangesize_DR_cor_p" "collessI" "sackinI" "gamma" "lat_pd_cor" "lat_mpd_cor" "lat_mntd_cor" "temp_pd_cor" "temp_mpd_cor" "temp_mntd_cor" "richness_pd_cor" "richness_mpd_cor" "richness_mntd_cor" "lat_pd_cor_p" "lat_mpd_cor_p" "lat_mntd_cor_p" "temp_pd_cor_p" "temp_mpd_cor_p" "temp_mntd_cor_p" "richness_pd_cor_p" "richness_mpd_cor_p" "richness_mntd_cor_p" "lat_bsm_cor" "lat_bssd_cor" "temp_bsm_cor" "temp_bssd_cor" "richness_bsm_cor" "richness_bssd_cor" "pd_bsm_cor" "mpd_bsm_cor" "mntd_bsm_cor" "pd_bssd_cor" "mpd_bssd_cor" "mntd_bssd_cor" "lat_bsm_cor_p" "lat_bssd_cor_p" "temp_bsm_cor_p" "temp_bssd_cor_p" "richness_bsm_cor_p" "richness_bssd_cor_p" "pd_bsm_cor_p" "mpd_bsm_cor_p" "mntd_bsm_cor_p" "pd_bssd_cor_p" "mpd_bssd_cor_p" "mntd_bssd_cor_p" "occupancy" "bodysize_temp_cor_p" "bodysize_rangesize_cor_p" "rangesize_temp_cor_p"
6 3.497 0.022 0.01 0.008 2.748 666 390 "m0_Scotese_Behr220_1" 10000 220 7500 1 1000 0.02 2 30000 0 0 12824 3763 9059 2.40738772256179 11.156070941337 51 6 12.9244606559903 1.02400031353234 2.79296356091414 -0.512302781718279 0.460398850917987 0.470617461032162 0.448313990010469 0.458032864446994 0.453800327546344 0.46840816051692 0.449641501763919 12.2079342149827 6.86405470112622 -0.337748759186228 2.40419943466037 0.753650813365208 0.104575887499552 -0.283829962504625 2.22391710820353 0.18703420715941 0.137334563301926 0.92029619027563 3.77449516469631 3.18831877729258 9.98598491548747 7.05456310255899 70.5792164429494 0.000126795800171952 -0.021888161792087 0.316690855361767 -0.229874750763702 -0.229874750763702 -0.229874750763702 -0.00422007453576959 -0.0013793602768296 0.00422020571883723 -0.265767123223969 -0.265767123223969 -0.265767123223969 0.261837429875512 0.220200923757478 -0.261837316303639 -0.0693491751638422 -0.0693491751638422 -0.0693491751638422 0.0851113340797865 0.0774341727220801 -0.0851112688529389 2.58678816794258e-46 2.58678816794258e-46 2.58678816794258e-46 0.795798486369085 0.932590183957005 0.79579227906065 7.33004165868596e-62 7.33004165868596e-62 7.33004165868596e-62 4.91418261246246e-60 1.50264076960713e-42 4.91477483081833e-60 2.06429819060633e-05 2.06429819060633e-05 2.06429819060633e-05 1.70646379308962e-07 1.9782783060598e-06 1.7065009090874e-07 1.29411496731134 1.24469785965388 -2.84296400483271 0.314658946371366 0.0303612182428664 0.331459672233805 -0.247816567584008 0.0181654010061098 -0.268472337476646 -0.765372134282501 -0.411907402657476 -0.749912311388534 4.90324694362275e-85 0.0660857129023814 1.06313153936339e-94 2.04708552126421e-52 0.271578279940689 1.53942246502909e-61 0 4.11642732159942e-150 0 -0.120402844197597 -0.0812104692720487 0.130293521971228 0.10296607006092 0.115585820490229 0.26998386177928 0.00332510157923806 0.226005980900478 -0.0503930127022299 -0.0901533036614774 0.18524013000539 -0.139676014942652 2.97458977530223e-09 6.50294319860419e-05 1.32387456084087e-10 4.00360805936351e-07 1.24102680108178e-08 1.42302773561853e-41 0.870319676100942 2.53742508026252e-29 0.0132971230095459 9.19541979894207e-06 4.54890603937132e-20 5.52234474763789e-12 0.708594815825375 0.993796120492394 0.179464157631995 1.99353295847873e-88
8 2.743 0.029 0.006 0.012 2.119 666 390 "m0_Scotese_Behr220_2" 10000 220 7500 1 1000 0.02 2 30000 0 0 6619 2514 4103 1.63206046141607 11.1058663028649 54 7 11.9861059925777 1.00971610459319 3.01966425564234 -0.442583312409188 0.387975546912648 0.421075542745578 0.420270649871077 0.42270719685926 0.454967723496923 0.458077711574631 0.459983505012903 10.5316537784429 7.80459299050359 -0.430134803330449 2.781234806459 0.725123791171232 0.118552286628124 -0.311350222250559 2.61159561476477 0.173753112715219 0.0967184856916328 0.328430802637102 2.67769234278429 6.14941834113915 18.615590977712 7.06555567741441 73.6068625638476 -0.0573601537963009 -0.00409903937655176 0.375004990762036 0.11431673654391 0.11431673654391 0.11431673654391 -0.0489184451214448 -0.0473362336550312 0.0489184451214448 -0.171757719124137 -0.171757719124137 -0.171757719124137 0.243121636361928 0.219382613786661 -0.243121636361928 -0.100919902254476 -0.100919902254476 -0.100919902254476 0.125071181922516 0.122658909871888 -0.125071181922516 9.04016610171373e-09 9.04016610171373e-09 9.04016610171373e-09 0.0141666383273207 0.0176165919510604 0.0141666383273207 4.24090961962018e-18 4.24090961962018e-18 4.24090961962018e-18 3.795236958929e-35 8.94489141444683e-29 3.795236958929e-35 3.96694231604912e-07 3.96694231604912e-07 3.96694231604912e-07 3.12094415778516e-10 6.81402279670698e-10 3.12094415778516e-10 0.246952643598119 0.305544169946858 -3.43289537510551 0.253152792951191 0.108293733991307 0.247724227707127 -0.19630775924694 -0.092350738108539 -0.184665665339953 -0.501937716948717 -0.134043699139895 -0.49019778376269 1.07954458364619e-54 4.92708030927302e-11 2.23909998968046e-52 3.67601841649839e-33 2.13230834655148e-08 1.78819392744674e-29 3.40410577071661e-233 3.67143316440877e-16 6.78769528662832e-221 -0.0114474411411795 -0.31716337963398 0.0240524566193386 0.322768352931358 -0.0453788482451826 0.349951754159593 -0.263036186249533 -0.248429352442888 -0.250641293241143 -0.258295509524309 -0.139411860057895 -0.25056215652905 0.56826156644164 3.10666266751125e-59 0.230503694117059 2.13057165996479e-61 0.0236317711679922 1.45982768052239e-72 1.23845717969221e-40 2.69859875805269e-36 6.19578813093036e-37 3.40054967050131e-39 2.88785390011903e-12 6.53234482948464e-37 0.741882673942701 0.00401519669837453 0.837241118878423 9.07643813853194e-85
4 4.251 0.016 0.015 0.004 3.376 666 390 "m0_Scotese_Behr220_3" 10000 220 7500 1 1000 0.02 2 30000 0 0 9761 2881 6875 2.38632419298855 8.71459754433834 48 2 12.1556215209657 1.35455158821068 3.62054842678507 -0.6090029986046 0.598088918137671 0.611349645950322 0.582407932744461 0.563406219618724 0.544774955553214 0.54404044464874 0.521487944500364 16.6950716261971 4.50010293448215 -0.548536553209189 2.68673358995309 0.824575767398196 0.0674118079859221 -0.643775937756889 2.73605103489082 0.220486834474589 0.171462583372495 0.930218350749346 3.67832028267863 3.27210326810778 9.51172321164301 6.56804077126359 66.8041147593358 0.0627634741776432 -0.00758340883142441 0.174592632347311 -0.17385166760257 -0.17385166760257 -0.17385166760257 0.15621484824817 0.12418995419205 -0.15621484824817 -0.261260327152468 -0.261260327152468 -0.261260327152468 0.203065194091172 0.20152006544143 -0.203065194091172 0.0402250444641677 0.0402250444641677 0.0402250444641677 -0.094525896292263 -0.0697051569191628 0.094525896292263 5.50377417303524e-21 5.50377417303524e-21 5.50377417303524e-21 3.36898990597845e-17 2.24846237366296e-11 3.36898990597845e-17 3.58916601497281e-46 3.58916601497281e-46 3.58916601497281e-46 3.4321925195321e-28 8.83740848412661e-28 3.4321925195321e-28 0.0308490822993126 0.0308490822993126 0.0308490822993126 3.7180389788205e-07 0.000180860041096599 3.7180389788205e-07 1.72488135780271 1.64454944577395 3.552395644657 0.182842299323165 0.185517112871997 0.241434558635356 -0.184276951411417 -0.193026038274583 -0.243213118206777 -0.420695718172478 -0.370060586303897 -0.536140109089105 6.43116043984761e-29 9.79146033006154e-30 9.20602759031084e-50 2.35183312158759e-29 4.25513513779788e-32 1.7081161307533e-50 3.67179738378321e-157 2.54441772473319e-119 6.69803002744456e-272 -0.261113768084568 -0.258198485394998 0.291162670312497 0.289599982471542 0.236680361564098 0.362839824912175 0.515713658643805 0.47954341022079 0.496721124445256 0.379411879220713 0.364265083793878 0.34837067549034 5.28817443622025e-31 2.49767982495868e-30 1.84694393196956e-38 4.7584457686069e-38 1.29692026210282e-25 3.09621964423836e-60 1.12237846588269e-129 6.67401636142841e-110 5.36350749860716e-119 3.87669395131653e-66 9.92480962996292e-61 2.3251895418843e-55 0.570804911323329 0.000749808186166579 0.684104733291387 3.73587438097352e-21
5 3.12 0.026 0.003 0.013 3.691 666 390 "m0_Scotese_Behr220_4" 10000 220 7500 1 1000 0.02 2 30000 0 0 9664 3259 6403 1.96471310217858 12.9105047748977 52 7 13.8237170962653 0.829943426176904 2.31946798876663 -0.269229070141268 0.270959905261799 0.266954314417309 0.242884603970643 0.250493084492043 0.234404407390818 0.243272650883311 0.210835806400584 10.0477932878859 8.27440543856168 -0.405614929196914 2.57872553647827 0.721441665144333 0.125836213398189 -0.348756509183973 2.51436320123148 0.205706082682097 0.0542183154590097 -0.0407687829260167 3.06692463552436 4.89621274834437 14.4671005735473 6.37216373019634 56.4094597222859 -0.00999512521700051 0.0194775230831697 0.33152227756705 0.158821063420659 0.158821063420659 0.158821063420659 0.0255699393705906 0.02086704462268 -0.0255699393705906 -0.180472827426796 -0.180472827426796 -0.180472827426796 0.0962756154393133 0.0921575003859583 -0.0962756154393133 -0.0466031009845345 -0.0466031009845345 -0.0466031009845345 0.079336305817474 0.0874432706752754 -0.079336305817474 7.43022569567767e-20 7.43022569567767e-20 7.43022569567767e-20 0.144453281309428 0.233683715157331 0.144453281309428 2.92637385844017e-25 2.92637385844017e-25 2.92637385844017e-25 3.65340128011169e-08 1.3623416556558e-07 3.65340128011169e-08 0.00779351743103832 0.00779351743103832 0.00779351743103832 5.77306264518677e-06 5.74509298632915e-07 5.77306264518677e-06 0.109245687303592 -0.125484673375243 -2.85613395837371 0.115393233766511 -0.0347771962439632 0.151458217463782 -0.0983792713903328 0.0381085240902634 -0.129764793925155 -0.662054035731421 -0.41176820856621 -0.676994553470659 2.43738162066430e-12 0.0352648739453492 2.99132274999602e-20 2.39801071938809e-09 0.0210485635223793 3.10659633267391e-15 0 5.30258945814072e-150 0 0.0503874690145392 -0.0501573863954564 -0.0532078025731977 0.0485664491702557 0.0404251518585278 0.17785222021337 -0.0522661475410029 -0.118710910902303 -0.0360561326027529 0.0151610912913809 0.0818976136436685 -0.00161008199020665 0.0107169727859372 0.0110812050524991 0.00704260112691151 0.0139145926601258 0.040677266029109 1.14984055098756e-19 0.00811937267571913 1.64528716329565e-09 0.0679346606540682 0.442863880843058 3.29700980203588e-05 0.935053599310186 0.741336971350614 0.568410781299191 0.26630804654051 1.90292505034334e-84
9 4.629 0.013 0.013 0.006 2.433 666 390 "m0_Scotese_Behr220_5" 10000 220 7500 1 1000 0.02 2 30000 0 0 3474 1720 1753 1.01918604651163 5.22755798090041 45 2 8.07896712350853 2.14662676171688 7.51118020819428 -0.632027609229814 0.556958313566695 0.619488268200709 0.582560385609341 0.57313998307178 0.645553885416778 0.633947699170312 0.643046384818054 14.5230546513971 5.03634760957271 -0.203431495022165 2.0390924538475 0.791831979646823 0.0759789621231327 -0.234686267310591 2.02301815013922 0.200323054666039 0.157186501778754 1.01495820166726 3.69525029361655 5.51496833621186 11.907863505198 5.94366993240191 62.2172992594924 -0.0491801922289348 -0.0207353048601445 0.310626754668882 -0.013671889019967 -0.013671889019967 -0.013671889019967 -0.0910185788764581 -0.071841554003698 0.0910185788764581 -0.298558044532475 -0.298558044532475 -0.298558044532475 0.517723653388263 0.423046812154712 -0.517723653388263 -0.132590367002945 -0.132590367002945 -0.132590367002945 0.181917785935568 0.147346955964227 -0.181917785935568 0.570967681348558 0.570967681348558 0.570967681348558 0.00015688723694743 0.00287156002538886 0.00015688723694743 9.48443493776128e-37 9.48443493776128e-37 9.48443493776128e-37 1.46333452797157e-118 1.2355588858778e-75 1.46333452797157e-118 3.40369323504734e-08 3.40369323504734e-08 3.40369323504734e-08 2.90032335046878e-14 8.25203295081369e-10 2.90032335046878e-14 1.92500343788705 1.83733254950129 1.22113512447786 -0.0648952226864359 -0.204543884643034 0.097983744287604 0.140507794025889 0.246290728774353 -0.00695711255271488 -0.132884669522262 0.0608683819783469 -0.290506044445512 8.44132792924953e-05 6.48321410812104e-36 2.77901945525788e-09 1.27694354603834e-17 8.9631060778418e-52 0.673726052834704 6.59241873648251e-16 0.00022683519249513 3.35060476738831e-72 0.0635501961848712 -0.0925477637698312 -0.0828664034577538 0.0819395062821588 0.310469847720459 0.372281263647199 0.0616129782747612 0.102942456510854 0.0622190954206708 0.166851968148466 0.200342841511409 0.156555698192862 0.00584370765501992 5.85117532027669e-05 0.000322156870605553 0.000375927291409349 2.73132076727611e-43 7.13284784148322e-63 0.00753473504545994 7.73480473619884e-06 0.0069636796637451 3.31819439516995e-13 1.78764153371609e-18 8.74930935091299e-12 0.584720327421555 0.0414105565773734 0.390108792439222 8.64231390714861e-40
7 2.365 0.019 0.008 0.003 3.062 666 390 "m0_Scotese_Behr220_6" 10000 220 7500 1 1000 0.02 2 30000 0 0 4541 2040 2501 1.22598039215686 7.96043656207367 50 1 12.3498986004967 1.51981344834333 3.97797666385757 -0.690123736295597 0.714385093401502 0.704204005914381 0.650553146723433 0.6345883684996 0.629494214037029 0.599917074410315 0.601922123883194 18.0886897549523 3.75086751405817 -0.581826264004738 2.69250457526475 0.845203391595423 0.0546426438824522 -0.678949210052942 2.80432293583042 0.212097690098312 0.139832376519924 0.761401372507464 3.38355625271748 6.42479630037437 15.8572623194538 5.55721988374824 43.1941450427457 -0.142511373295438 -0.0680359063593734 0.238633922482136 -0.253458790824309 -0.253458790824309 -0.253458790824309 -0.011839185065694 -0.00999888349890104 0.011839185065694 0.0584710468265043 0.0584710468265043 0.0584710468265043 0.110248593976936 0.108094094819397 -0.110248593976936 0.0626709303958993 0.0626709303958993 0.0626709303958993 -0.0102593951135134 0.00612043637355832 0.0102593951135134 2.85949398740505e-31 2.85949398740505e-31 2.85949398740505e-31 0.593048310587866 0.651739011815203 0.593048310587866 0.00825237833371564 0.00825237833371564 0.00825237833371564 5.98506257393903e-07 9.90238551679259e-07 5.98506257393903e-07 0.00463061084091474 0.00463061084091474 0.00463061084091474 0.64328717253485 0.782339942532023 0.64328717253485 1.49522643372168 1.36053108558872 -5.12042591686694 0.536625831291887 0.462249417830828 0.539241110005542 -0.549844074090222 -0.479238033885585 -0.551691573407386 -0.832818653668828 -0.718959925969348 -0.834657866023808 1.75261035838397e-272 1.77982767017746e-193 1.23646408303069e-275 1.06229934559917e-288 7.73679006619101e-210 5.02590862207625e-291 0 0 0 -0.380081862139813 -0.347060130702649 0.317471845330253 0.34586234518721 0.457470173211516 0.383720538890678 -0.0384285200497704 0.347472835756896 -0.125629907581927 -0.00805227270754798 0.351316205256193 -0.0745699119654042 3.28610315741008e-59 5.02935045456298e-49 6.97712425407332e-41 1.11871540025929e-48 3.61844819568692e-88 2.08887012401167e-60 0.114291134502375 3.81529091064259e-49 2.20326899660241e-07 0.740805966809159 2.85412714496919e-50 0.00215826166288802 0.521691678035471 1.0076298637419e-10 0.00210775366608009 8.29434295726679e-28
3 3.874 0.032 0.018 0.01 1.805 666 390 "m0_Scotese_Behr220_7" 10000 220 7500 1 1000 0.02 2 30000 0 93 NA 7054 NA NA 18.5373406193078 60 13 17.2718065745315 0.641404671278832 2.05467170440473 -0.0702492959888407 0.0766720218709078 0.102862159178525 0.113471834556394 0.128038304698067 0.0887674965874246 0.0571288235977471 0.0618024667974945 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.708594815825375 0.993796120492394 0.179464157631995 1.99353295847873e-88
3 2.931 0.018 0.014 0.009 1.962 666 390 "m0_Scotese_Behr220_8" 10000 220 7500 1 1000 0.02 2 30000 0 186 NA 7464 NA NA 16.8053367217281 54 8 16.6962675548018 0.605286958520596 1.77352446452399 0.249196416635202 -0.221005805508855 -0.177116008030698 -0.179411507514022 -0.166041093213218 -0.195607339631702 -0.184568969509267 -0.201042275576215 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.708594815825375 0.993796120492394 0.179464157631995 1.99353295847873e-88
8 4.44 0.03 0.005 0.002 3.219 666 390 "m0_Scotese_Behr220_9" 10000 220 7500 1 1000 0.02 2 30000 0 0 2641 1321 1319 0.998485995457986 7.61664392905866 54 1 12.3861671055971 1.73598359608885 4.89954470060867 -0.729865576880688 0.73927904930412 0.730266753171389 0.681533073176337 0.635295206649329 0.671976471418494 0.640568390016561 0.658963700323299 18.8979494039708 4.11629558207429 -0.936990036632266 2.93426981458905 0.855492031019937 0.0612410133445247 -1.00491187164418 3.0697804793005 0.21622546432063 0.0998023325112724 0.151837580352359 2.64009749139076 10.5698599015524 25.2546377442639 7.47992864529441 97.3148274095112 -0.102135345301089 -0.0204674274772603 0.196070547031496 0.0537259189302253 0.0537259189302253 0.0537259189302253 0.0971547707557942 0.0813270063858972 -0.0971547707557942 -0.160687309808227 -0.160687309808227 -0.160687309808227 -0.112274549863525 -0.083259113023733 0.112274549863525 0.00603017196004949 0.00603017196004949 0.00603017196004949 -0.0917754586666486 -0.0540236211416699 0.0917754586666486 0.0509073057965377 0.0509073057965377 0.0509073057965377 0.000405972991704405 0.00309663698712195 0.000405972991704405 4.28121927053213e-09 4.28121927053213e-09 4.28121927053213e-09 4.31827741537187e-05 0.00245775862522683 4.31827741537187e-05 0.826677694473984 0.826677694473984 0.826677694473984 0.000839224523723848 0.0496352726232761 0.000839224523723848 -1.04298160272612 -0.614466255594858 -2.22302976903882 0.628267817160055 0.610324102128419 0.628557228096736 -0.628169882319199 -0.607798003674663 -0.628231094827221 -0.870530444430778 -0.84578077166257 -0.871125918845144 0 0 0 0 0 0 0 0 0 0.105545114458035 0.0648370176483841 -0.0747904286687588 -0.067440673524914 -0.0355630337152163 0.0595535650049225 0.37357863687983 0.50892295512719 0.286341489069417 -0.123440803948407 -0.217447362879132 -0.131239592331762 2.57918593041771e-05 0.00987020506716639 0.00290607799535189 0.00727048473394424 0.15728156247676 0.0178032284323881 1.33222505156857e-53 4.84253486907047e-105 2.97056779893105e-31 8.38001340852587e-07 2.14059933966967e-18 1.60423792783421e-07 0.518144611186903 0.000200504504555646 0.457315917564279 6.50571278865022e-13
10 2.177 0.024 0.019 0.005 2.59 666 390 "m0_Scotese_Behr220_10" 10000 220 7500 1 1000 0.02 2 30000 0 0 1712 922 790 0.856832971800434 7.36862210095498 50 3 10.4943709118552 1.85615943172663 5.85861350391133 -0.642561491043277 0.641919872554885 0.653863419049573 0.592630326408065 0.591661520526116 0.586057819495851 0.567633770213341 0.570895658280593 17.6561149185241 4.02652514357502 -0.507354873390601 2.3048418559578 0.836947844129953 0.0603126368295631 -0.545761778675862 2.39331141443891 0.350654013248467 0.235066823424271 0.529940255225301 2.49428273936063 15.7745327102804 32.6905417416216 4.30695776290265 27.4144227426847 -0.0181245532700164 0.0268521500664903 0.101989298252261 0.064711740326108 0.064711740326108 0.064711740326108 -0.0250688820263631 -0.0209860202515643 0.0250688820263631 -0.166780719716349 -0.166780719716349 -0.166780719716349 -0.0611782917287691 -0.0339497423755636 0.0611782917287691 -0.158152961113111 -0.158152961113111 -0.158152961113111 0.120519522274605 0.122861734902984 -0.120519522274605 0.0494918192484404 0.0494918192484404 0.0494918192484404 0.447081421005756 0.52449316198534 0.447081421005756 3.52354366226893e-07 3.52354366226893e-07 3.52354366226893e-07 0.0633303910066418 0.303120927876728 0.0633303910066418 1.39220378654566e-06 1.39220378654566e-06 1.39220378654566e-06 0.000244529686773294 0.000184206879223724 0.000244529686773294 0.471598878348253 0.471220284652542 -1.06711979877647 0.413384273467213 0.191501184925356 0.398362779149974 -0.392077616399154 -0.18218397785333 -0.377295775880124 -0.68790960265292 -0.440209472986532 -0.658938074478194 2.78308314519477e-151 1.30797007956997e-31 1.18399368934991e-139 5.80012564279112e-135 1.01755631572114e-28 2.50082029375747e-124 0 1.38429466660925e-173 0 -0.329008756643161 -0.433818015123396 0.348698155849461 0.469327723657622 0.262715674384637 0.296368377387975 -0.328906288561264 -0.262773796215875 -0.327177196986441 -0.22056996028286 -0.136824648751513 -0.197123675726947 6.75064600954763e-55 2.21492084830899e-98 6.98526157585859e-62 5.05270448287627e-117 6.30578914779167e-35 2.10187662901731e-44 7.31776764064582e-55 6.08834157219605e-35 2.84129957600181e-54 7.34316600695964e-25 2.32956709528806e-10 4.38282325793756e-20 0.652114597544338 0.582565837101484 0.415420654239355 0.00193039838894697
