"divergence_threshold" "lambda" "omega" "sigma_bs" "sigma_t" "dispersal" "seed" "start_time" "model" "initial_abundance" "grid_cell_distance" "max_species" "ancestor_number" "inflexion" "decay" "aridity_cost" "K" "psi"
6 3.497 0.022 0.01 0.008 2.748 666 390 "m3_Scotese_Behr220_1" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.743 0.029 0.006 0.012 2.119 666 390 "m3_Scotese_Behr220_2" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.251 0.016 0.015 0.004 3.376 666 390 "m3_Scotese_Behr220_3" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.12 0.026 0.003 0.013 3.691 666 390 "m3_Scotese_Behr220_4" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.629 0.013 0.013 0.006 2.433 666 390 "m3_Scotese_Behr220_5" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.365 0.019 0.008 0.003 3.062 666 390 "m3_Scotese_Behr220_6" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.874 0.032 0.018 0.01 1.805 666 390 "m3_Scotese_Behr220_7" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.931 0.018 0.014 0.009 1.962 666 390 "m3_Scotese_Behr220_8" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.44 0.03 0.005 0.002 3.219 666 390 "m3_Scotese_Behr220_9" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.177 0.024 0.019 0.005 2.59 666 390 "m3_Scotese_Behr220_10" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.686 0.012 0.009 0.012 3.848 666 390 "m3_Scotese_Behr220_11" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.554 0.033 0.012 0.007 3.533 666 390 "m3_Scotese_Behr220_12" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.063 0.021 0.002 0.014 2.276 666 390 "m3_Scotese_Behr220_13" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.308 0.015 0.016 0.011 2.905 666 390 "m3_Scotese_Behr220_14" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.817 0.027 0.007 0.004 1.647 666 390 "m3_Scotese_Behr220_15" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.403 0.031 0.009 0.005 2.355 666 390 "m3_Scotese_Behr220_16" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.912 0.019 0.018 0.012 3.612 666 390 "m3_Scotese_Behr220_17" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.648 0.012 0.004 0.008 1.726 666 390 "m3_Scotese_Behr220_18" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.157 0.025 0.013 0.001 2.983 666 390 "m3_Scotese_Behr220_19" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.271 0.022 0.006 0.01 3.298 666 390 "m3_Scotese_Behr220_20" 10000 220 7500 1 1000 0.02 2 30000 0
10 3.78 0.034 0.016 0.003 2.04 666 390 "m3_Scotese_Behr220_21" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.026 0.028 0.002 0.007 3.926 666 390 "m3_Scotese_Behr220_22" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.534 0.015 0.011 0.014 2.669 666 390 "m3_Scotese_Behr220_23" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.46 0.023 0.017 0.013 2.512 666 390 "m3_Scotese_Behr220_24" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.969 0.011 0.008 0.006 3.769 666 390 "m3_Scotese_Behr220_25" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.214 0.017 0.012 0.002 1.883 666 390 "m3_Scotese_Behr220_26" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.723 0.03 0.003 0.009 3.14 666 390 "m3_Scotese_Behr220_27" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.837 0.014 0.019 0.004 2.826 666 390 "m3_Scotese_Behr220_28" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.346 0.026 0.01 0.011 1.569 666 390 "m3_Scotese_Behr220_29" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.083 0.033 0.015 0.015 3.455 666 390 "m3_Scotese_Behr220_30" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.591 0.02 0.005 0.008 2.197 666 390 "m3_Scotese_Behr220_31" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.79 0.025 0.012 0.011 3.101 666 390 "m3_Scotese_Behr220_32" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.299 0.013 0.002 0.004 1.844 666 390 "m3_Scotese_Behr220_33" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.035 0.019 0.017 0.007 3.73 666 390 "m3_Scotese_Behr220_34" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.544 0.032 0.007 0.014 2.472 666 390 "m3_Scotese_Behr220_35" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.413 0.016 0.014 0.006 2.158 666 390 "m3_Scotese_Behr220_36" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.921 0.028 0.005 0.013 3.416 666 390 "m3_Scotese_Behr220_37" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.167 0.035 0.019 0.009 1.529 666 390 "m3_Scotese_Behr220_38" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.676 0.022 0.01 0.002 2.787 666 390 "m3_Scotese_Behr220_39" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.224 0.03 0.004 0.003 2.944 666 390 "m3_Scotese_Behr220_40" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.733 0.017 0.013 0.01 1.687 666 390 "m3_Scotese_Behr220_41" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.978 0.011 0.008 0.013 3.573 666 390 "m3_Scotese_Behr220_42" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.487 0.024 0.018 0.006 2.315 666 390 "m3_Scotese_Behr220_43" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.356 0.021 0.001 0.012 2.63 666 390 "m3_Scotese_Behr220_44" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.864 0.033 0.011 0.005 3.887 666 390 "m3_Scotese_Behr220_45" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.601 0.027 0.006 0.001 2.001 666 390 "m3_Scotese_Behr220_46" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.11 0.014 0.016 0.008 3.258 666 390 "m3_Scotese_Behr220_47" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.695 0.017 0.02 0.015 3.966 666 390 "m3_Scotese_Behr220_48" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.204 0.029 0.01 0.008 2.708 666 390 "m3_Scotese_Behr220_49" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.45 0.023 0.015 0.004 3.337 666 390 "m3_Scotese_Behr220_50" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.959 0.01 0.005 0.011 2.08 666 390 "m3_Scotese_Behr220_51" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.073 0.032 0.017 0.003 1.765 666 390 "m3_Scotese_Behr220_52" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.582 0.02 0.008 0.01 3.023 666 390 "m3_Scotese_Behr220_53" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.318 0.013 0.013 0.013 2.394 666 390 "m3_Scotese_Behr220_54" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.827 0.026 0.003 0.006 3.651 666 390 "m3_Scotese_Behr220_55" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.261 0.012 0.007 0.007 3.494 666 390 "m3_Scotese_Behr220_56" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.77 0.024 0.016 0.014 2.237 666 390 "m3_Scotese_Behr220_57" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.507 0.031 0.002 0.01 2.865 666 390 "m3_Scotese_Behr220_58" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.016 0.018 0.011 0.003 1.608 666 390 "m3_Scotese_Behr220_59" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.13 0.028 0.009 0.009 1.922 666 390 "m3_Scotese_Behr220_60" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.639 0.015 0.019 0.002 3.18 666 390 "m3_Scotese_Behr220_61" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.884 0.021 0.004 0.005 2.551 666 390 "m3_Scotese_Behr220_62" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.393 0.034 0.014 0.012 3.808 666 390 "m3_Scotese_Behr220_63" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.191 0.021 0.016 0.004 3.671 666 390 "m3_Scotese_Behr220_64" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.699 0.034 0.007 0.011 2.414 666 390 "m3_Scotese_Behr220_65" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.436 0.027 0.012 0.014 3.042 666 390 "m3_Scotese_Behr220_66" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.945 0.015 0.002 0.007 1.785 666 390 "m3_Scotese_Behr220_67" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.059 0.031 0.019 0.013 2.099 666 390 "m3_Scotese_Behr220_68" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.568 0.018 0.009 0.006 3.357 666 390 "m3_Scotese_Behr220_69" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.813 0.012 0.014 0.002 2.728 666 390 "m3_Scotese_Behr220_70" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.322 0.024 0.004 0.009 3.985 666 390 "m3_Scotese_Behr220_71" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.625 0.013 0.01 0.01 3.828 666 390 "m3_Scotese_Behr220_72" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.134 0.026 0.02 0.003 2.571 666 390 "m3_Scotese_Behr220_73" 10000 220 7500 1 1000 0.02 2 30000 0
